Lookup Artists::Season,Lookup Artists::Staff Team Full Name,Lookup Photographers::Season,Lookup Photographers::Staff Team Full Name,Citations::Citation Volume,Citations::Citation Pages,Citations::Comment,Citations::Full Conversion Text,Citations::Partial Conversion Text Author,Lookup Videographers::Season,Lookup Videographers::Staff Team Full Name,Category ID,Category Text,Contiguous Relationship,Contingious 1,Contingious 2,Count,Count of Features,COUNT OF Sheet Type = Feature & Season = 2014,cSheetGif,Description,Dictated By ID,Dictated Text,Drawing Artist Text,Drawing Reference Text,Drawings Artist ID,Drawings Reference Number,Entered By ID,Entered Date,Entered Text,Entrance,Feature ID,Feature ID Tot.,Feature Sheet Count,Feature Text,FilePath,gArtist,Gate,gPhotographer,gPRStaff,gVideographer,Insula,Last Modified By ID,Last Modified Date,Last Usage ID,Last Usage ID Count,Last Usage Text,Minority Report,Modified Text,Negative Feature,Photo BW Roll Frame,Photo Color Roll Frame,Photo Comments,Photo Digital Image Number,Photographer ID,Photographer Roll Frame,Photographer Text,Recorded By ID,Recorded Date,Recorded Text,Region,Room Number,Room Type ID,Room Type Text,Season,Season Count,Sheet ID,Sheet Type,Structure ID,Structure Text,Totals of Room Type,Video Analog Tape Number,Video Analog Time,Video Comments,Video Digital File Number,Videographer ID,Lookup Principle Researchers::Principle Reasearcher Full Name,Lookup Principle Researchers::Season,Lookup Recorded By::Staff Team Full Name,Lookup Recorded By::Season
2001,Lindley Vann,2001,Lindley Vann,,,,,,,,1,Domestic,Two cisterns located: one south of garden; second south of dining area., Two cisterns located: one south of garden; second south of dining area.,None,4152,4152,,1.gif,Heavily constructed cooking platform (see drawing measurements) on west wall in northwest corner of room. Sits on reconstructed brick base that spans the length of the wall. Evidence of a base that spans the length of the wall.  Base length 223 cm x width 83 cm x height 43 cm.   Hearth depth 61 cm x height 73 cm X width 86 cm.  Opening 53 cm front to back x 49 cm height x 45 cm across.,20,,Benedict Lowe,6.7.7,80,6.7.7,84,06/20/2001,,2,88,1,1,"Platform, Cooking",,Yes,,Yes,0,Yes,8,,07/06/2015,3,4102,House,0,8/9/2005 8:22 AM,0,1073031,,,,80,B&W 01 07 30/31,,,06/20/2001,Curtis/,6,12,48,Other,2001,4148,1,Feature,,,,,,,,,Bob Curtis,2001,,
2001,Ben Lowe,,,,,,,,,,1,Domestic,None,None,None,4152,4152,,2.gif,Evidence of a base to a small rectangular structure in the northeast corner (length 96 cm x 18 cm wide),20,,Benedict Lowe,6.7.7,81,6.7.7,84,06/21/2001,,7,93,2,2,Other,,Yes,,Yes,0,Yes,7,,06/02/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,,,,,,,06/21/2001,Curtis/,6,0,48,Other,2001,4148,2,Feature,,,,,,,,,Bob Curtis,2001,,
2001,Ben Lowe,,,,,,,,,,1,Domestic,North of peristyle and water feature,North of peristyle and water feature,None,4152,4152,,3.gif,"Three niches on north, west, east walls wide opening overlooking peristyle and water feature. Original frescos retained on east, west and north walls. Niches are decorated with shells at top. Niches tall, deep, segmental in plan. Half domes with molded shell motifs. Flanking wall niches symmetrical in size shape. North niches smaller and not as deep. Modern concrete support and top facing peristyle. Decoration on north wall not accessible.Floor not accessible. Look for it in  PPM.",20,,Benedict Lowe,6.1.7,81,6.1.7,84,06/21/2001,,7,211,3,3,(none),,Yes,,Yes,0,Yes,1,,08/17/2012,3,4102,House,0,12/25/2005 5:00:43 PM,0,,,Photographed in 2005 by Lee Payne.,,,,Lee Payne (2005),,06/21/2001,Curtis (2001)/MR (2005),6,46,34,Dining Room,2001,4148,3,Space,487,House of the Vestals,,0501,48:53-49:27,,,,Bob Curtis,2001,,
2001,Ben Lowe,,,,,,,,,,4,Commercial,"No other features except shelves on right of counter.  To east of hearth, may have been another feature where Anglo-American group has excavated. Counter faces upon street with other rooms on rear.",Counter faces upon street with other rooms on rear.,"No other features except shelves on right of counter.  To east of hearth, may have been another feature where Anglo-American group has excavated.",4152,4152,,4.gif,"L-shaped serving counter, marble top, seen in front of the shop to the east of entrance. At northeast end of the counter structure, it is hollow inside. An opening at top is rectangular; there is opening on the front side for fuel.  There are two small stepped shelves at the southeast end of the counter, 51 cm wide.  They face toward the city gate, attracting customers coming into the city. The counter is without embedded dolia, and wearily reconstructed.",20,,Benedict Lowe,6.1.2,81,6.1.2,84,06/21/2001,ML,2,50,4,4,Counter,,Yes,,Yes,0,Yes,1,,11/21/2014,19,4102,"Food & Drink Shop, Large",0,12/10/2005 5:06:43 PM,0,10100,,,,,B&W 01-01-00,,,06/21/2001,Curtis/,6,1,17,Counter Room,2001,4148,4,Feature,483,Shop of C.Julius Polybius,,0503,02:12 - 04:36,,,,Bob Curtis,2001,,
2001,Ben Lowe,,,,,,"Eschebach, 1993, shows a long bench against west exterior wall.",Eschebach,,,4,Commercial,"On sidewalk, northwest of counter (feature # 4).  To left of entrance 2. West of room 1, on the sidewalk east of street.","To left of entrance 2. West of room 1, on the sidewalk east of street.","On sidewalk, northwest of counter (feature # 4).",4152,4152,,6.gif,Bench on sidewalk outside room 1.  Currently restored as a L-shaped bench. Extent evidence suggests it was originally L-shaped. Presumably this bench was used for overflow customers from food and drink shop. Indentations on painted wall above bench suggest it could have served as a public notice board. Bench is in close proximity to gate.,20,,Benedict Lowe,6.1.2,81,6.1.2,84,06/21/2001,ML (2005),2,72,5,5,"Bench, Street Side",,Yes,,Yes,0,Yes,1,,06/02/2011,19,4102,"Food & Drink Shop, Large",0,12/10/2005 5:32:36 PM,0,,,Wide shot bench with counter 69 and 70,,,,,,06/21/2001,Curtis/,6,1,17,Counter Room,2001,4148,6,Feature,483,Shop of C.Julius Polybius,,0503,02:12 - 04:36,,,,Bob Curtis,2001,,
2005,Ben Lowe,,,,,,,,,,4,Commercial,contiguous to street,contiguous to street,None,4152,4152,,7.gif,"Large open room. Counter to north with series of small rooms opening, any one of which could be dining room. Small window in north exterior wall, larger window in south exterior wall.",,,Benedict Lowe,6.1.5,183,6.1.5,162,06/23/2005,ML,5,211,6,6,(none),,Yes,,Yes,0,Yes,1,,04/06/2015,19,4102,"Food & Drink Shop, Large",0,10/9/2005 9:20:05 PM,0,,,,,,,,,06/23/2005,,6,1,17,Counter Room,2005,4148,7,Space,,No name,,03,00:00-02:12,,,,,,,
,,,,,,,Ellis,,,,4,Commercial,Contiguous to street,Contiguous to street,None,4152,4152,,8.gif,"Small U-shaped counter largely reconstructed. Very narrow with no embedded dolia four steps to north side. Reconstructed on east side. It would have just enough room for one person to serve.Counter looks down street, attracting customers leaving city.  Directly across from 6.17.4 (hospiticum) and another small food and drink shop.",,,,Sketch8,,8,184,06/23/2005,ML,5,50,7,7,Counter,,Yes,,Yes,0,Yes,1,,08/17/2012,19,4102,"Food & Drink Shop, Large",0,8/14/2005 5:26:29 PM,0,,,,,,,,184,06/23/2005,HP,6,1,17,Counter Room,2005,4148,8,Feature,,No name,,03,00:00-02:12,,,,,,Helen Powell,2005
2001,Ben Lowe,,,,,,,,,,1,Domestic,Latrine located down corridor and to right.,Latrine located down corridor and to right,None,4152,4152,,9.gif,Irregularly shaped platform with tiled surface. Plan is preserved but sides are eroded with stones missing. No recesses for wood storage. Walls not high enough preserved to indicate window. Platform clearly built after walls.,,,Benedict Lowe,6.1.7,81,6.1.7,360,06/22/2001,ML,7,88,8,8,"Platform, Cooking",,Yes,,Yes,0,Yes,1,,06/02/2011,3,4102,House,0,12/10/2005 4:34:09 PM,0,,,Photographed in 2005 by Lee Payne.,,,,Lee Payne (2005),360,06/22/2001,KH / HP,6,22,40,Kitchen,2001,4148,9,Feature,487,House of the Vestals,,0501,37:26 -37:58,,,,,,Helen Powell,2001
,,,,,,,,,,,1,Domestic,"Adjacent to room 7, 9, 10, 12.","Adjacent to room 7, 9, 10, 12.",None,4152,4152,,10.gif,"Square triclinium with entrance in east corner.  Window overlooking peristyle garden in west corner. Limited traces of wall painting in northeast corner with red border.  Extensive sign of restoration on north, east, west walls. Southeast corner alcove framed by blocked door leading into tablinum. Floor consists of marble chippings.",,,,,,,173,06/22/2005,ML,10,211,9,9,(none),,Yes,,Yes,0,Yes,1,,08/17/2012,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,,,,,,173,06/22/2005,NR,6,8,34,Dining Room,2005,4148,10,Space,490,House of the Surgeon,,02,46:54-47:40,,,,,,Margaret Ramos,2005
,,,,,,,"Jones cites this as dining room, but there are other rooms of this size in proportion.",Jones cites this as dining room,,,1,Domestic,"Southeast of atrium, adjacent to rooms 4, 10, 12, 16, 17, 18, 19, 21","Southeast of atrium, adjacent to rooms 4, 10, 12, 16, 17, 18, 19, 21",None,4152,4152,,11.gif,"Larger rectangular room with narrow entrance to west into atrium. Large tufa blocks visible either side of doorway, no evidence of lintel remains that would have been high.  Floor best preserved in north portion of room, irregularly shaped marble insets, and narrow marble border.  All four walls have evidence of red and yellow paint.  South wall is low and in poor state of repair.",,,,,,,,06/22/2005,ML,10,211,10,10,(none),,Yes,,Yes,0,Yes,1,,06/02/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,,,,,,,06/22/2005,,6,11,34,Dining Room,2005,4148,11,Space,490,House of the Surgeon,,02,48:45-49:32,,,,,,,
